country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,1.91,3.78,1.81,3.85,4.74,5.43,4.96,3.91,2.76,2.51,2.48,3.89,4.71,4.65,3.99,5.52,5.56,6.55,6.23,7.93,2.49,1.83,0.732,1.07,0.54,1.39,0.165,3.94,6.27,12.6,9.94,39.1,14.7,14.8,14,12.4,9.52,12.6,8.7,7.36,6.77,19.6,59.6,69.1,95.8,113,114,191,179,223,225,231,217,162,151,126,117
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77,3.2,3.36,102,126,83.9,50.8,56.7,71.5,53.4,85.9,157,103,87.7,101,115,99.4,105,108,104,124,122,125,131,120,93.3,97.3,116,58.6
Algeria,31.9,38.4,34,23.5,18.5,11.6,9.78,8.06,8.7,9.28,8.4,8.09,7.17,7.91,7.9,14.1,8.46,7.3,10.4,5.91,10.6,8.38,6.55,4.39,5.53,7.63,7.2,8.92,6.99,6.26,12.8,7.95,13.8,11.7,10.4,10.2,10.4,8.29,13.8,4.48,6.41,6.29,5.82,7.38,9.65,10.4,7.13,11.5,9.32,8.53,5.57,5.25,3.92,5.31,4.11,2.19,3.88
Angola,-0.00886,4.09,,0.00502,,0.179,0.453,2.83,0.00153,-0.0166,-0.00443,0,0.0127,0.022,0.0495,0.62,2.21,5.84,5.6,5.45,5.87,6.51,6.16,7.44,9.09,8.53,11.9,12,13.6,14.1,21.8,22.1,26.5,21.6,32.3,29.2,31.3,23.5,21.6,24.3,18.4,16.6,23.6,27.1,60.7,21.2,8.07,12.4,17,10.6,10.1,7.97,9.71,11,8.74,13.6,7.18
Antigua and Barbuda,,,,,,,,,,,,,,0.143,42.3,28.8,43,73.8,49.1,44.6,74.9,124,68.3,47,33.4,42.3,73.4,82,126,65.1,69.1,107,68.2,42.9,58,30.8,51.2,56,125,132,118,101,157,64.5,21.5,90.3,36.3,54.6,65.6,45.5,208,161,21.6,16.3,25.8,14.9,0.792
Argentina,1.39,1.39,1.87,1.75,0.784,-2.79,-0.429,0.946,1.75,1.08,0.39,1.14,0.941,1.81,1.4,1.01,1.15,1.04,1.03,1.55,0.693,1.53,1.03,1.6,1.62,1.28,2.78,3.17,4.8,6.53,5.16,8.24,7.86,6.65,4.25,4.09,3.71,2.86,2.36,2.32,1.63,4.09,2.33,2.81,2.38,2.4,2.79,2.15,2.97,2.79,3.12,2.28,4.22,0.816,1.14,-0.435,0.0593
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.776,6.52,32.5,58.2,67.7,92.3,53.1,62.5,67.7,70.3,69.3,97.3,83,85.4,57.9,72.8,120,105,182,119,138,93.9,96.9,92,119,112
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0413,1.01,3.18,19.6,15.6,12.4,23.5,15.2,21.4,17.5,28.5,42.9,36.7,21.2,25.1,24.5,26.4,26.8,26.1,17.8,31.3,30.9,-7.52,22.7,7.21,7.94
Bahamas,-0.365,,,0.157,0.449,0.5,0.342,4.52,0.315,0.426,0.472,1.44,6.86,2.64,2.81,3.49,3.06,2.38,5.81,5.97,9.54,9.01,8.49,3.95,46.5,2.98,23.4,2.75,17.1,15.6,12.3,10.6,10.1,3.8,3.15,15.2,,,,,,,,,,,,,,,,,,,,,
Bahrain,0.246,5.6,7.8,3.59,3.17,4.7,50.6,0.255,0.997,0.679,4.47,21.3,12.4,59.5,150,97,575,158,260,395,574,527,404,644,519,177,230,19.7,-5.61,-3.66,277,186,153,208,174,177,229,253,325,97.2,90.9,102,83.8,169,70.2,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,0.231,3.31,6.14,7.6,15,6.82,10.5,12.9,14.7,15.8,13.1,15.5,11.8,13.1,12.1,14.9,18.2,16,17.4,19.7,17.3,16.3,12.2,15,10.8,10.1,8.17,9.2,9.45,8.92,7.79,6.59,10.1,10,9.21,8.41,10.3,13.9,8.22,9.23,9.71,13.8,16.7,15.2,15.9,15.4
Barbados,,,,,,,6.78,2.49,3.58,5.46,9.71,19,19.6,19.5,15.8,21.4,30.5,23.4,45.3,43.7,55,67.6,49.9,73.1,31.9,28.5,14.3,23.8,11.2,7.75,10.1,8.11,0.114,13.7,3.86,-4.38,15.9,16.2,58.4,-7.92,0.889,-4.25,12.2,72.7,105,-7.66,-8.33,63.4,25.7,39,57.9,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7.78,8.94,11.7,10.3,14.4,12.6,10.9,11.3,12.7,11,-2.35
Belize,19.8,29.8,56.7,40.5,15,20.1,23.6,51.8,47.6,57.4,48.7,40.6,69.8,36.1,47.4,65.4,86.1,69.6,131,147,101,76.6,79.4,96.6,86.7,133,142,135,140,155,162,114,135,157,160,91,99.4,63.7,66.5,200,65.9,91,90,49,27.2,42.4,28.1,74.4,77.9,85.9,77.8,66.6,77.8,149,107,78.7,95.3
Benin,0.00822,0.6,1.5,1.68,6.99,6.79,5.56,5.95,4.71,4.61,5.06,9.74,6.58,8.5,10.4,16.6,15.2,14.2,17.1,23.4,23.7,21.3,20.3,21,18,21.9,30.6,29.5,33.8,55.6,53.6,51.6,50.5,52.1,44.9,47.5,47.3,35.2,31.7,31.9,35.6,39.6,30.4,40.2,50.6,43.7,48.7,56.2,73.2,75.7,74.9,71.1,52.2,66,58.3,40.7,45.3
