country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6,20.4,20.9,19.7,15.2,14.4,13,12.7,12.8,12.5,12.2
Albania,,,,,,,,,,,,,,,,,,,,,,45.8,92.9,64.6,44.4,18.6,14.5,21.4,22.4,22.1,30,27.6,26,26.3,21.5,25.2,26.6,26.3,32.7,38.7,45.5,49.2,58.7,68.9,65,74,71
Algeria,19.8,25,23,34.6,25.6,30.1,35.1,51.4,61,57.6,47.1,42.6,40.2,34.4,30.4,32.4,36.4,37.5,45.7,50.7,47,65.5,59.7,54.5,74.1,83.5,75.8,67.2,66.5,60.9,48.9,42.8,42.2,36.3,27.4,17.4,5.26,4.61,3.68,5.46,4.51,3.06,2.69,2.56,2.64,2.91,3.59
Angola,,,,,,,,,,,,,,,,,,,,109,129,84.9,288,327,581,312,179,156,206,226,131,119,83.9,73,57,50.5,27.8,22.6,22,24.8,22.8,20.4,20.1,21.7,24.5,28.6,41.2
Argentina,19.4,18.9,20.2,14,10.7,14.9,18.6,20.7,23.4,30.9,35.8,46.6,55.3,47,65.4,61.1,49.7,55.4,48.9,93.3,46.2,35.7,30.6,27.7,29.6,39,41.7,44.7,48.5,55,54.2,58.5,164,136,108,68.4,52.9,43.1,36.8,41.4,31,27.1,25.6,27.1,28.2,30.2,35.7
Armenia,,,,,,,,,,,,,,,,,,,,,,,,12.1,16.3,25.3,31.7,36.7,41.2,53.8,51.4,64.2,69.5,68.7,57.2,38.5,31.9,31.7,29.2,54.8,64.9,70.5,69.2,73.5,70.4,81.4,92.4
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,0.895,3.41,10.6,14.1,12.9,15.9,28.4,31.8,28.2,28.9,28.4,27.2,19.4,15.3,14,10.3,11.1,14.4,11.9,15.7,14.3,16.1,25.9,39.8
Bangladesh,,,,6.14,10,8.64,19.7,24.3,21.3,19.1,20.9,20.4,26.2,29.5,28.5,28.8,35.6,39.2,37.8,36.4,38.1,41.1,41.3,41.5,44.5,40.2,31.8,28.7,30.2,31.1,28.3,26.9,29.3,29.5,29,25.5,26.6,25.5,23.7,23,21.6,19.6,19.7,21,19.3,18.6,17.6
Belarus,,,,,,,,,,,,,,,,,,,,,,,,5.94,8.7,12.2,13.3,14.8,15.8,22.3,20.6,22.7,23.3,21.2,19.9,17.5,17.8,27.9,25.3,45.9,50.6,56.1,52.6,54.3,52.4,70.3,83
Belize,7.93,7.62,8.03,6.5,5.71,4.56,10.4,18.4,25.7,49,32.7,31.5,40,54.8,50,59.4,54.1,51,43.1,38.8,35.4,37.3,36,35.9,35.8,42.7,45.8,71.3,50.8,60.1,80.9,89.7,98.2,118,102,102,96.4,94.9,106,105,105,91.8,82.2,83.5,82.2,80.8,80.4
Benin,13,15.4,11.6,17.9,19.5,17.6,20.2,28.3,30.6,38.2,33.9,42.2,60.1,73.8,74.7,88.1,79.3,81.1,73.3,73.1,58.3,58.8,73.3,56.9,88.4,65.7,59.5,63,58.7,55.6,54.7,55.2,53.2,38.4,36,32.4,12.7,14.9,13.7,18.6,23.1,24,25.5,22.2,21.3,26.5,27.1
Bhutan,,,,,,,,,,,,0.283,0.995,1.46,2.02,6.42,12.7,18.1,26,28.1,29.7,37.8,40.1,45.8,41.7,39.8,40.2,35.8,53.3,55.3,48.2,57.3,73,81.2,87.6,81.3,80.6,67.9,56.6,64.8,62.4,62.8,86.2,95.7,101,107,114
Bolivia,67.7,60.4,61.7,64.6,43.2,43,47.6,53.9,57.6,58.2,61.3,52.6,65.6,79.4,76.9,99,155,145,115,94.7,94.5,81.5,79.4,79.6,85.8,82.7,73.2,68.9,68.4,70.1,72.2,60.5,66.4,75.5,75.1,76.1,56.7,40.5,35.4,34.9,30.9,27.2,26.2,28.5,28.5,31.1,33.2
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5,45.8,42.4,44.2,50.4,52.4,59.9,65,71.2,66.2,82.6,80.4,75.2,83.9,82.6,75.6,79.2,65.8
Botswana,17.2,25.5,45.2,47,43.3,41.7,44.7,41.1,21.3,15.9,13.4,14.4,19.6,20.1,23.7,33.9,31.7,31.4,21.6,19.5,15,15.3,14.2,14.9,17.4,15.3,13.6,11.8,10.8,9.77,8.32,7.48,10.4,7.57,6.45,5.06,3.9,4.17,4.4,16.4,14.8,15.4,17.1,16.4,16,15.7,14
Brazil,14.3,15.9,20.4,19.2,21.5,22.8,22.5,24.5,28.1,28.2,31.7,32.4,35.3,51.7,52.9,49.4,42.8,42.6,37.2,25.6,26.8,20.6,33,33.9,28.5,21.2,22,23.3,29.3,43.1,38.7,43,47.7,44.1,34.3,22,18.3,17.8,16.3,17.7,16.4,15.9,18.3,19.8,23.1,30.8,30.9
Bulgaria,,,,,,,,,,,,3.93,6.84,10.5,14.7,22.5,29.2,29.7,40.4,47.5,57.3,119,116,114,103,82.2,107,102,79.5,88.6,93.6,79.6,73.7,66.6,63,61.9,83.7,106,102,111,102,85.7,96.5,94.4,85.5,81.6,76.4
Burkina Faso,4.53,4.9,3.47,4.61,6.32,6.74,8.82,14.8,17.9,17,17.2,18.6,20.2,25,28.2,33,31.5,35,32.5,27.5,26.9,30.9,46.6,48.3,60.3,53.8,50.2,53.3,52.2,53.5,55.3,54.1,48.8,41.8,40.2,36.8,19.4,21.7,19,23,23.3,22,23.5,21.9,21.2,24.3,23.9
Burundi,6.36,5.59,2.93,2.63,2.81,4.7,5.12,8.79,12.5,17.6,18,18.5,22.6,28.7,35.7,40.2,48.3,69.8,75.6,81.1,81.2,83.3,96,115,123,118,132,111,127,145,127,126,152,176,153,117,109,104,86.5,35.2,30.8,25.8,27.1,25.2,22.3,20.3,21.2
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,50,51.3,52,60,55.7,55.1,52.5,54.4,56.2,53.2,46.1,41.1,24.8,24.8,31.4,34.3,34.6,47.2,48.9,50.1,55,54.4
Cameroon,14.2,16.1,16.8,17.6,16.5,18,22.5,42.7,37.9,39.7,45.8,38.5,40.8,41.7,38.5,40,39.5,37.8,38.7,49.1,61.5,58,69.9,60.5,108,133,121,116,124,107,121,109,101,87.1,70.6,47.8,19.3,15.5,12.4,13.9,13.7,11.8,14.4,17,16.3,23.6,30.5
Cape Verde,,,,,,,,,,,,28.1,43.3,54.5,59.8,71,60.3,55.1,46.9,46.6,43.3,41.8,39.6,30,43.3,44.2,40.7,42.4,47.8,56.3,60.9,62.1,64,55.2,51.2,50.9,49.3,39.2,35.9,43.6,56.1,58,74.2,83.3,87.3,102,100
Central African Republic,12.9,14.3,16.1,20.9,24.6,21,21,26,23.3,22.7,24.3,33.4,34.2,39.8,42,40.1,41.6,52.5,54.1,57.4,49.3,58.3,58.3,69.5,107,86.4,94.5,95.8,96.9,93.2,96.4,90.3,110,93.5,87.1,76.6,70.9,59.8,50.4,27.2,30.8,24.7,24.5,36.5,37.5,41.6,38.8
Chad,7.45,9.31,6.2,7.37,11.6,16.4,17.8,22,25.1,30.8,27.4,29.7,26.5,26.5,21.3,21.1,24.9,30.2,26.9,28,29.9,32.9,34,48.6,66.9,58.4,59.3,62.6,59.1,72.4,80.4,65,66.2,67.5,44.4,29,28.3,24.8,20.7,21.1,20.9,19.8,19.6,23.7,18,15.3,17.6
China,,,,,,,,,,,,2.96,4.07,4.15,4.63,5.38,7.89,13,13.6,12.9,15.3,15.7,17,19.4,17.8,16.3,15.1,15.4,14.2,13.8,12.2,13.9,12.7,12.5,12.6,12.5,11.8,10.5,8.22,8.78,12.1,13.9,13.3,15.4,16.9,12,12.8
Colombia,33.5,34.6,35.1,32.9,28.9,30.8,27.5,27.3,23.1,21.9,21.5,24.8,27.8,31.2,33.4,43.6,46.4,49.7,45.7,45.5,45.6,44.1,37,35.4,27.5,27.7,30.6,30.8,34.4,41.1,35.1,38.2,35.2,40.8,33.8,26.5,24.4,22,19.9,23.7,23.2,23.1,21.6,24.5,27.7,38.8,43.3
